Training Error 0.0001,Training Error 0.001,Training Error 0.01,Training Error 0.1
60.27650532,51.89935321,51.44441982,54.68933981
60.24214909,51.89633497,51.44441116,60.49002113
60.20805491,51.89334396,51.44440272,54.68933897
60.17421973,51.89037987,51.44439452,60.49001909
60.14064059,51.88744237,51.44438653,54.68933937
60.10731451,51.88453114,51.44437876,60.49002053
60.07423861,51.88164587,51.44437119,54.6893389
60.04141004,51.87878625,51.44436382,60.49001904
60.00882596,51.87595198,51.44435665,54.68933889
59.97648362,51.87314275,51.44434968,60.49002001
59.9443803,51.87035828,51.44434289,54.68933816
59.91251328,51.86759828,51.44433628,60.4900153
59.88087991,51.86486245,51.44432984,54.6893395
59.84947758,51.86215052,51.44432358,60.4900237
59.81830373,51.85946221,51.44431749,54.68934039
59.78735581,51.85679725,51.44431156,60.49002203
59.75663133,51.85415538,51.44430579,54.68933907
59.72612784,51.85153632,51.44430017,60.49001914
59.69584287,51.84893981,51.4442947,54.68933869
59.66577406,51.84636561,51.44428938,60.49001986
59.63591904,51.84381346,51.4442842,54.68933845
59.6062755,51.84128311,51.44427915,60.49001848
59.57684115,51.83877431,51.44427425,54.68933898
59.54761372,51.83628682,51.44426947,60.49001971
59.51859099,51.83382042,51.44426482,54.68933887
59.48977076,51.83137485,51.4442603,60.49002095
59.46115086,51.82894989,51.44425589,54.68933781
59.43272916,51.82654532,51.44425161,60.4900151
59.40450357,51.8241609,51.44424744,54.68933969
59.37647201,51.82179642,51.44424338,60.49002341
59.34863245,51.81945166,51.44423942,54.68933903
59.32098285,51.81712641,51.44423558,60.49001797
59.29352122,51.81482045,51.44423183,54.68933936
59.26624562,51.81253356,51.44422819,60.49002232
59.2391541,51.81026557,51.44422464,54.68934043
59.21224474,51.80801624,51.44422119,60.4900253
59.18551569,51.80578539,51.44421783,54.6893397
59.15896506,51.80357282,51.44421456,60.49002143
59.13259104,51.80137833,51.44421138,54.6893379
59.10639183,51.79920174,51.44420829,60.4900164
59.08036564,51.79704284,51.44420527,54.68933906
59.0545107,51.79490146,51.44420234,60.49002096
59.02882528,51.79277741,51.44419948,54.68933852
59.00330766,51.79067051,51.4441967,60.49001678
58.97795617,51.78858058,51.444194,54.68933948
58.95276915,51.78650745,51.44419137,60.49002186
58.92774493,51.78445094,51.4441888,54.68934045
58.9028819,51.78241087,51.44418631,60.49002551
58.87817845,51.78038709,51.44418388,54.68934052
58.85363302,51.77837941,51.44418152,60.4900235
58.82924404,51.77638768,51.44417922,54.68933894
58.80500997,51.77441174,51.44417698,60.49001907
58.78092928,51.77245142,51.44417481,54.68933903
58.75700049,51.77050656,51.44417269,60.49002134
58.73322211,51.76857701,51.44417062,54.68933936
58.70959268,51.76666262,51.44416862,60.49002043
58.68611076,51.76476322,51.44416666,54.68933916
58.66277492,51.76287868,51.44416476,60.49001941
58.63958378,51.76100884,51.44416291,54.68933886
58.61653592,51.75915356,51.44416111,60.49001991
58.59362998,51.75731268,51.44415935,54.68933894
58.57086461,51.75548608,51.44415765,60.49002068
58.54823847,51.7536736,51.44415599,54.68933841
58.52575025,51.7518751,51.44415437,60.49001855
58.50339863,51.75009046,51.4441528,54.6893391
58.48118236,51.74831953,51.44415127,60.49002128
58.45910013,51.74656218,51.44414978,54.68933893
58.43715071,51.74481828,51.44414832,60.49001942
58.41533284,51.74308769,51.44414691,54.689338
58.39364531,51.7413703,51.44414554,60.49001727
58.37208694,51.73966596,51.4441442,54.68933872
58.35065648,51.73797456,51.4441429,60.49002077
58.32935278,51.73629597,51.44414163,54.68933835
58.30817469,51.73463007,51.4441404,60.49001704
58.28712103,51.73297673,51.4441392,54.68933877
58.2661907,51.73133584,51.44413803,60.49001896
58.24538255,51.72970728,51.4441369,54.68933874
58.22469547,51.72809093,51.44413579,60.49001792
58.20412837,51.72648667,51.44413472,54.68933811
58.18368017,51.72489439,51.44413367,60.49001705
58.1633498,51.72331399,51.44413265,54.68933788
58.1431362,51.72174534,51.44413166,60.49001623
58.12303833,51.72018833,51.44413069,54.68933954
58.10305517,51.71864287,51.44412975,60.49002283
58.08318568,51.71710884,51.44412884,54.68934026
58.06342887,51.71558612,51.44412794,60.49002167
58.04378373,51.71407463,51.44412708,54.68933875
58.02424928,51.71257426,51.44412623,60.49001876
58.00482456,51.7110849,51.44412541,54.68933934
57.9855086,51.70960645,51.44412462,60.49002154
57.96630046,51.70813881,51.44412384,54.68933912
57.94719917,51.70668189,51.44412308,60.49002034
57.92820383,51.70523558,51.44412234,54.68933919
57.90931353,51.70379978,51.44412163,60.49001986
57.89052734,51.70237441,51.44412093,54.68933857
57.87184437,51.70095936,51.44412025,60.49001907
57.85326375,51.69955455,51.44411959,54.689339
57.83478459,51.69815988,51.44411895,60.49001931
57.81640603,51.69677527,51.44411832,54.68933847
57.79812722,51.69540061,51.44411771,60.49001803
57.7799473,51.69403582,51.44411712,54.68933873
57.76186544,51.69268081,51.44411654,60.49001891
57.74388082,51.6913355,51.44411598,54.68933853
57.72599262,51.6899998,51.44411543,60.49001731
57.70820002,51.68867362,51.4441149,54.6893391
57.69050225,51.68735688,51.44411438,60.49002097
57.67289847,51.68604949,51.44411388,54.68933882
57.65538794,51.68475138,51.44411339,60.49001996
57.63796987,51.68346245,51.44411291,54.68933868
57.6206435,51.68218264,51.44411245,60.49001872
57.60340809,51.68091186,51.444112,54.68933821
57.58626286,51.67965002,51.44411156,60.49001767
57.56920709,51.67839707,51.44411113,54.68933825
57.55224005,51.6771529,51.44411071,60.49001791
57.53536101,51.67591746,51.44411031,54.6893394
57.51856927,51.67469065,51.44410991,60.49002035
57.50186409,51.67347242,51.44410953,54.68933841
57.4852448,51.67226268,51.44410915,60.49001813
57.46871071,51.67106136,51.44410879,54.68933888
57.45226111,51.66986839,51.44410844,60.49002117
57.43589534,51.66868369,51.44410809,54.68933829
57.41961273,51.6675072,51.44410776,60.49001771
57.40341261,51.66633885,51.44410743,54.68933921
57.38729432,51.66517856,51.44410711,60.49002275
57.37125723,51.66402627,51.4441068,54.68933982
57.35530068,51.66288191,51.4441065,60.49002203
57.33942405,51.66174541,51.44410621,54.68933907
57.32362669,51.6606167,51.44410592,60.49001829
57.30790801,51.65949573,51.44410565,54.68933884
57.29226737,51.65838242,51.44410538,60.49002012
57.27670417,51.6572767,51.44410511,54.68933875
57.26121781,51.65617852,51.44410486,60.49001873
57.24580768,51.65508782,51.44410461,54.68933916
57.23047321,51.65400452,51.44410437,60.49002216
57.2152138,51.65292857,51.44410413,54.68933994
57.20002888,51.65185991,51.4441039,60.49002292
57.18491789,51.65079847,51.44410368,54.68934071
57.16988024,51.64974419,51.44410346,60.49002538
57.15491538,51.64869702,51.44410325,54.68933882
57.14002277,51.6476569,51.44410304,60.49001652
57.12520184,51.64662377,51.44410284,54.68933917
57.11045207,51.64559757,51.44410265,60.49002248
57.09577291,51.64457824,51.44410246,54.68933966
57.08116382,51.64356572,51.44410227,60.49002015
57.06662429,51.64255997,51.44410209,54.6893383
57.05215379,51.64156093,51.44410192,60.49001778
57.0377518,51.64056853,51.44410175,54.68933794
57.02341781,51.63958273,51.44410158,60.49001656
57.00915133,51.63860347,51.44410142,54.68933884
56.99495185,51.6376307,51.44410127,60.49002087
56.98081887,51.63666436,51.44410111,54.68933843
56.96675191,51.63570441,51.44410096,60.49001756
56.95275048,51.63475079,51.44410082,54.68934028
56.93881409,51.63380345,51.44410068,60.49002501
56.92494228,51.63286234,51.44410054,54.68934006
56.91113458,51.63192741,51.44410041,60.4900207
56.8973905,51.63099861,51.44410028,54.68933825
56.88370961,51.63007589,51.44410015,60.49001741
56.87009143,51.62915921,51.44410003,54.6893388
56.85653551,51.6282485,51.44409991,60.49001988
56.84304141,51.62734373,51.44409979,54.68933777
56.82960868,51.62644485,51.44409968,60.4900151
56.81623687,51.62555181,51.44409957,54.68933978
56.80292557,51.62466457,51.44409946,60.49002639
56.78967433,51.62378307,51.44409936,54.68933904
56.77648273,51.62290727,51.44409926,60.49001759
56.76335034,51.62203713,51.44409916,54.68933945
56.75027676,51.62117261,51.44409906,60.49002182
56.73726154,51.62031365,51.44409897,54.68934043
56.7243043,51.61946021,51.44409888,60.49002385
56.71140462,51.61861226,51.44409879,54.68933936
56.69856211,51.61776974,51.4440987,60.49002013
56.68577636,51.61693262,51.44409862,54.68933895
56.67304696,51.61610085,51.44409854,60.49001818
56.66037356,51.61527439,51.44409846,54.68933845
56.64775574,51.6144532,51.44409838,60.49001723
56.63519311,51.61363724,51.4440983,54.68933858
56.6226853,51.61282646,51.44409823,60.49001943
56.61023194,51.61202083,51.44409816,54.68933826
56.59783266,51.61122031,51.44409809,60.49001797
56.58548707,51.61042485,51.44409802,54.68933921
56.57319481,51.60963442,51.44409796,60.49002167
56.56095554,51.60884898,51.44409789,54.68933895
56.54876887,51.60806849,51.44409783,60.4900193
56.53663446,51.60729291,51.44409777,54.68933821
56.52455195,51.6065222,51.44409771,60.49001691
56.51252099,51.60575633,51.44409765,54.68933919
56.50054124,51.60499526,51.4440976,60.49002013
56.48861235,51.60423894,51.44409754,54.6893381
56.47673398,51.60348736,51.44409749,60.49001643
56.4649058,51.60274046,51.44409744,54.68933953
56.45312746,51.60199822,51.44409739,60.49002472
56.44139865,51.6012606,51.44409734,54.68934037
56.42971902,51.60052755,51.44409729,60.49002271
56.41808826,51.59979906,51.44409724,54.68934018
56.40650604,51.59907508,51.4440972,60.49002324
56.39497206,51.59835557,51.44409716,54.68933982
56.38348598,51.59764052,51.44409711,60.49002048
56.37204749,51.59692987,51.44409707,54.68933786
56.36065629,51.5962236,51.44409703,60.49001626
56.34931207,51.59552167,51.44409699,54.68933956
56.3380145,51.59482406,51.44409695,60.49002584
56.32676331,51.59413072,51.44409692,54.6893397
56.31555819,51.59344163,51.44409688,60.49002108
56.30439884,51.59275676,51.44409684,54.68933934
56.29328497,51.59207606,51.44409681,60.49002046
56.28221628,51.59139952,51.44409678,54.68933833
56.27119249,51.5907271,51.44409674,60.49001828
56.2602133,51.59005877,51.44409671,54.68933896
56.24927844,51.5893945,51.44409668,60.49002084
56.23838762,51.58873426,51.44409665,54.68933914
56.22754056,51.58807801,51.44409662,60.49002063
56.21673699,51.58742573,51.44409659,54.68933772
56.20597664,51.5867774,51.44409657,60.49001492
56.19525922,51.58613297,51.44409654,54.6893401
56.18458447,51.58549242,51.44409651,60.4900276
56.17395212,51.58485573,51.44409649,54.6893385
56.1633619,51.58422286,51.44409646,60.49001669
56.15281357,51.58359378,51.44409644,54.6893389
56.14230685,51.58296848,51.44409642,60.49002071
56.13184148,51.58234691,51.44409639,54.68933932
56.12141721,51.58172905,51.44409637,60.49002041
56.11103379,51.58111488,51.44409635,54.68933967
56.10069096,51.58050437,51.44409633,60.4900219
56.09038847,51.57989749,51.44409631,54.68933835
56.08012608,51.57929421,51.44409629,60.4900176
56.06990354,51.57869451,51.44409627,54.68933829
56.05972061,51.57809836,51.44409625,60.49001745
56.04957705,51.57750574,51.44409623,54.68933858
56.03947261,51.57691661,51.44409621,60.49001746
56.02940707,51.57633097,51.4440962,54.68933856
56.01938017,51.57574876,51.44409618,60.49001748
56.00939169,51.57516999,51.44409616,54.68933827
55.99944141,51.57459461,51.44409615,60.49001776
55.98952909,51.57402261,51.44409613,54.68933853
55.97965449,51.57345396,51.44409612,60.49001931
55.96981741,51.57288863,51.4440961,54.68933813
55.9600176,51.57232661,51.44409609,60.49001656
55.95025486,51.57176786,51.44409607,54.68934044
55.94052896,51.57121237,51.44409606,60.49002645
55.93083968,51.57066011,51.44409605,54.68933938
55.92118681,51.57011105,51.44409603,60.49001921
55.91157013,51.56956518,51.44409602,54.68933893
55.90198942,51.56902247,51.44409601,60.49002031
55.89244449,51.5684829,51.444096,54.68933868
55.88293511,51.56794644,51.44409598,60.49001929
55.87346108,51.56741308,51.44409597,54.68933934
55.8640222,51.56688279,51.44409596,60.49002066
55.85461825,51.56635555,51.44409595,54.68933851
55.84524905,51.56583134,51.44409594,60.49001843
55.83591438,51.56531014,51.44409593,54.68933965
55.82661404,51.56479192,51.44409592,60.49002294
55.81734784,51.56427666,51.44409591,54.68934092
55.80811558,51.56376435,51.4440959,60.49002459
55.79891707,51.56325495,51.44409589,54.68933963
55.78975211,51.56274846,51.44409588,60.49001874
55.78062051,51.56224485,51.44409588,54.68933862
55.77152209,51.5617441,51.44409587,60.49001795
55.76245664,51.56124619,51.44409586,54.68933792
55.753424,51.5607511,51.44409585,60.49001563
55.74442396,51.56025881,51.44409584,54.68933989
55.73545634,51.5597693,51.44409584,60.49002572
55.72652096,51.55928255,51.44409583,54.68933932
55.71761765,51.55879855,51.44409582,60.49001919
55.70874621,51.55831726,51.44409581,54.68933901
55.69990648,51.55783868,51.44409581,60.49001832
55.69109827,51.55736278,51.4440958,54.68933775
55.68232141,51.55688955,51.4440958,60.49001465
55.67357573,51.55641896,51.44409579,54.68934028
55.66486104,51.555951,51.44409578,60.49002371
55.65617719,51.55548566,51.44409578,54.6893398
55.647524,51.5550229,51.44409577,60.49002041
55.63890129,51.55456272,51.44409577,54.68933857
55.63030891,51.55410509,51.44409576,60.49001773
55.62174669,51.55365,51.44409575,54.68933845
55.61321446,51.55319743,51.44409575,60.49001779
55.60471205,51.55274737,51.44409574,54.68933807
55.59623931,51.55229978,51.44409574,60.49001716
55.58779607,51.55185467,51.44409574,54.68933844
55.57938217,51.55141201,51.44409573,60.49001896
55.57099746,51.55097178,51.44409573,54.68933772
55.56264177,51.55053398,51.44409572,60.49001613
55.55431494,51.55009857,51.44409572,54.68933927
55.54601684,51.54966554,51.44409571,60.49002246
55.53774729,51.54923489,51.44409571,54.68933979
55.52950614,51.54880658,51.44409571,60.49002068
55.52129325,51.54838062,51.4440957,54.68933821
55.51310846,51.54795697,51.4440957,60.49001784
55.50495163,51.54753563,51.44409569,54.68933846
55.49682259,51.54711657,51.44409569,60.49001787
55.48872121,51.54669979,51.44409569,54.68933855
55.48064735,51.54628526,51.44409568,60.49001917
55.47260085,51.54587297,51.44409568,54.68933953
55.46458157,51.54546292,51.44409568,60.49002154
55.45658937,51.54505507,51.44409567,54.68934025
55.44862409,51.54464942,51.44409567,60.49002316
55.44068562,51.54424594,51.44409567,54.68933955
55.4327738,51.54384464,51.44409567,60.49001916
55.42488849,51.54344549,51.44409566,54.68933866
55.41702957,51.54304847,51.44409566,60.49001915
55.40919688,51.54265358,51.44409566,54.68933823
55.40139029,51.54226079,51.44409566,60.49001817
55.39360967,51.5418701,51.44409565,54.68933753
55.38585489,51.54148149,51.44409565,60.49001539
55.37812581,51.54109495,51.44409565,54.68933888
55.3704223,51.54071046,51.44409565,60.49002206
55.36274422,51.540328,51.44409564,54.68933938
55.35509146,51.53994757,51.44409564,60.49002103
